2021/02/22 16:40:17 [error] 6856#11580: *33819 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=designing%20tips%20a HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33819 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=designing%20tips%20a HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33826 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=to HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33826 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=to HTTP/1.0", upstream: "fastcgi://php", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33824 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=designing%20tips HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33824 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=designing%20tips HTTP/1.0", upstream: "fastcgi://php", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33828 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=too HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33828 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=too HTTP/1.0", upstream: "fastcgi://php", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33822 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=designing%20tips%20an HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33822 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=designing%20tips%20an HTTP/1.0", upstream: "fastcgi://php", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33830 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=designing%20tips%20a HTTP/1.0", upstream: "fastcgi://php", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33831 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=tool HTTP/1.0", upstream: "fastcgi://php", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/22 16:40:22 [error] 6856#11580: *33832 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=wpforo_tag_search&referer=http%3A%2F%2Fhello.local%2Fcommunity%2F&q=tools HTTP/1.0", upstream: "fastcgi://php", host: "hello.local", referrer: "http://hello.local/community/"
2021/02/25 01:22:36 [crit] 10416#2220: *10448 CreateFile() "C:/Users/LENOVO/Local Sites/hello/app/public/wp-content/themes/http:/hello.local/wp-content/plugins/the-events-calendar/src/resources/images/the-events-calendar.svg" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/themes/http://hello.local/wp-content/plugins/the-events-calendar/src/resources/images/the-events-calendar.svg HTTP/1.0", host: "hello.local", referrer: "http://hello.local/wp-admin/edit.php?page=tribe-common&post_type=tribe_events&welcome-message-the-events-calendar=1"
2021/02/25 01:51:46 [error] 10416#2220: *15067 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=ajax-tag-search&tax=post_tag&q=anni HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "hello.local", referrer: "http://hello.local/wp-admin/post-new.php?post_type=tribe_events"
